suite,strategy,n,mean_exact,min_exact,mean_lenient,pass_rate_exact_1,mean_dead_count,mean_pad_tokens,mean_prompt_tokens,mean_elapsed_sec
multi,all_registry,8,1.0,1.0,1.0,1.0,1,0,5741,0.30427549500382156
multi,ballast_router,8,0.90625,0.75,0.9375,0.625,0,1216,6887.75,0.8551227711286629
multi,combo_original_dead_registry,8,0.90625,0.75,0.96875,0.625,0,1216,6927.875,0.3496198889952211
multi,dead_only_registry,8,0.9375,0.75,0.9375,0.75,1,0,5695.875,0.4192759527541057
multi,raw_mixed,8,0.4375,0.25,0.5,0.0,1,0,5655.875,1.187221207866969
single,ballast_router,12,1.0,1.0,1.0,1.0,0,1162.6666666666667,6804.833333333333,0.3899061753351513
single,combo_router,12,1.0,1.0,1.0,1.0,0,1162.6666666666667,6843.833333333333,0.15579305766732432
single,raw_bad,12,0.0,0.0,0.08333333333333333,0.0,1,0,5628,0.7465401516625813
single,tail_registry,12,1.0,1.0,1.0,1.0,1,0,5667,0.17035003533480145
